"OBJECTID,N,10,0","NAME,C,80","STATUS,C,50","WATERSHED,C,50","COUNCIL_DI,C,5","PRIMARY_FE,C,50","SW_TREE_TR,C,50","SW_PLANTER,C,50","SW_BUMPOUT,C,50","RAIN_GARDE,C,50","SW_BASIN,C,50","INFILTRATI,C,50","POROUS_PAV,C,50","SWALE,C,50","SW_WETLAND,C,50","CISTERN_RA,C,50","GREEN_ROOF,C,50","OTHER,C,50","LINK,C,254","LONGITUDE,N,19,8","LATITUDE,N,19,8","LINK_1,C,100","LINK_2,C,100"
837,Safe Routes to Schools,In Design,Schuylkill River Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.21633000,39.98279800,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
838,Safe Routes to Schools,In Design,Schuylkill River Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.23187500,39.98587300,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
839,Safe Routes to Schools,In Design,Darby Cobbs Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.26846300,39.97572600,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
840,Safe Routes to Schools,In Design,Darby Cobbs Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.25189800,39.97463200,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
841,Safe Routes to Schools,In Design,Schuylkill River Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.22891400,39.98585000,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
842,Safe Routes to Schools,In Design,Darby Cobbs Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.24930800,39.97494000,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
843,Safe Routes to Schools,In Design,Darby Cobbs Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.26556400,39.97564400,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
844,Safe Routes to Schools,In Design,Schuylkill River Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.23111700,39.98768500,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
845,Safe Routes to Schools,In Design,Schuylkill River Watershed,"3,4",Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.22980800,39.99168400,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
846,Samuel B. Huey Elementary School,In Design,Darby Cobbs Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.22733886,39.95337831,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
847,Saylor Grove,Constructed,Wissahickon Creek Watershed,4,Stormwater Wetland,$,$,$,$,$,$,$,$,Stormwater Wetland,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/saylor_grove,-75.18619433,40.02946998,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/saylor_grove
848,Sayre High School,In Design,Darby Cobbs Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,Infiltration Storage Trench,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.23859230,39.95801206,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
849,School of the Future,Constructed,Schuylkill River Watershed,4,Green Roof,$,$,$,$,$,$,Porous Paving,$,$,Cistern or Rain Barrel,Green Roof,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/school_of_the_future,-75.20348900,39.97516600,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/school_of_the_future
850,Sedgwick Station,In Design,Tookany-Tacony/Frankford Creek Watershed,8,Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.18583274,40.06321549,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
851,Sepviva St from Susquehanna Ave to Dauphin St,Constructed,Delaware River Watershed,1,Infiltration/Storage Trench,$,$,$,$,$,Infiltration Storage Trench,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/infiltration_storage_trench,-75.12850089,39.97950780,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench
852,Sharswood School and Our Lady of Carmel School,In Design,Delaware River Watershed,1,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.15161900,39.91887300,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
