7,Pennypack on the Delaware,1,8201 STATE RD,19136,40.0302680,-75.0133929
8,Franklin D. Roosevelt Park,7,3500 S BROAD ST,19145,39.9067353,-75.1738833
9,Morris Park,8,6600 SHERWOOD RD,19151,39.9837744,-75.2571134
10,Walton Run,1,11000 ACADEMY RD,19154,40.0841475,-74.9902470
11,Hunting Park,3,1101 W HUNTING PARK AVE,19140,40.0165416,-75.1438156
12,Poquessing Creek Park,1,3601 ACADEMY RD,19154,40.0963614,-74.9709369
13,Fluehr Park,1,4800 GRANT AVE,19114,40.0555533,-74.9850009
14,Burholme Park,1,7370 CENTRAL AVE,19111,40.0686375,-75.0885963
15,Wister's Woods Park,4,432-60 E WISTER ST,19141,40.0310250,-75.1634920
16,Wooden Bridge Run,1,2855 WILLITS RD,19114,40.0634820,-75.0164970
17,Bartram's Garden,8,5400 LINDBERGH BLV,19143,39.9334582,-75.2155245
18,Clifford Park,4,6331 WISSAHICKON AVE,19144,40.0351402,-75.1928284
19,Carpenter's Woods Park,4,7045-99 GREENE ST,19119,40.0484369,-75.1991455
20,Fernhill Park,4,4600 MORRIS ST,19144,40.0215842,-75.1685810
21,Manayunk Canal,4,4500 MAIN ST,19127,40.0272730,-75.2281553
22,Poquessing Creek Park,1,3125 MECHANICSVILLE RD,19154,40.1095039,-74.9657003
23,Carroll Park Cobbs Creek,8,7800 CITY AVE,19151,39.9772568,-75.2742508
24,Awbury Park,4,6101 ARDLEIGH ST,19138,40.0522504,-75.1646939
25,Holme Crispin Park,1,3065 HOLME AVE,19136,40.0566029,-75.0212126
26,Schuylkill River Park,5,300 S 26TH ST,19103,39.9483718,-75.1824887
27,Fisher Park,3,6000 N 05TH ST,19120,40.0425870,-75.1291809
28,Disston Park,2,6501-6951 KEYSTONE ST,19135,40.0236670,-75.0391390
29,Poquessing Creek Park,1,1217 STEVENS RD,19116,40.1274363,-74.9977561
30,Junod Park,1,3102 MECHANICSVILLE RD,19154,40.1099196,-74.9656325
31,Eastwick Regional Park,8,80TH ST & MARS PL,19153,39.9039601,-75.2504530
32,Poquessing Creek Park,1,4341 WHITING RD,19154,40.0813221,-74.9676663
33,29th & Chalmers Park,6,3001 W LEHIGH AVE,19132,39.9973019,-75.1802872
34,Gorgas Park,4,6300 RIDGE AVE,19128,40.0366614,-75.2187956
35,Marconi Plaza,7,2700 S BROAD ST,19148,39.9154620,-75.1703560
36,Fort Mifflin,8,4800 FORT MIFFLIN RD,19153,39.8774339,-75.2135889
37,Poquessing Creek Park,1,9900-99 HEGERMAN ST,19114,40.0602716,-74.9822532
38,Pastorius Park,4,200 W HARTWELL LN,19118,40.0700096,-75.2058981
39,Poquessing Creek Park,1,130 DIMARCO DR,19154,40.0720885,-74.9756579
40,Gray's Ferry Crescent,7,1101 S 34TH ST,19146,39.9435641,-75.1964238
41,Benjamin Franklin Parkway,5,BENJ FRANKLIN PKY,19130,39.9625562,-75.1773861
42,Poquessing Creek Park,1,10501 KNIGHTS RD,19154,40.0840464,-74.9740355
43,Wakefield Park,4,5300 N 16TH ST,19141,40.0337732,-75.1492172
44,Vine Street Park,5,VINE STREET EXP,19103,39.9591743,-75.1732394
45,Clarence H Clark Park,8,4301 CHESTER AVE,19104,39.9484262,-75.2090515
46,Rittenhouse Town,4,5800 WISSAHICKON AVE,19144,40.0285528,-75.1851721
47,Eastwick Park,8,7401 LINDBERGH BLV,19153,39.9065534,-75.2352791
48,Germany Hill,4,4849 SMICK ST,19128,40.0337152,-75.2316911
49,Reyburn Park,6,1950 W LEHIGH AVE,19132,39.9950551,-75.1635322
50,Vernon Park,4,5710-18 GERMANTOWN AVE,19144,40.0360250,-75.1754330
51,Penn Treaty Park,2,1201-1301 BEACH ST,19125,39.9667728,-75.1291320
52,Wingohocking Park,3,4101 OLD YORK RD,19140,40.0150060,-75.1472001
53,Kemble Park,4,5641 OGONTZ AVE,19141,40.0399103,-75.1505571
54,Bradford Park,1,2400 FAUNCE ST,19152,40.0513677,-75.0544910
55,Eakins Oval,5,2500 BENJ FRANKLIN PKY,19130,39.9632261,-75.1793068
56,Rittenhouse Square,5,1800 WALNUT ST,19103,39.9502250,-75.1714237
57,Loudoun Park,4,4650 GERMANTOWN AVE,19144,40.0256260,-75.1609150
58,Elmwood Park,8,7101 DICKS AVE,19142,39.9137606,-75.2362170
59,Washington Square,5,600 WALNUT ST,19106,39.9477058,-75.1511165
60,Franklin Square,5,200 N 06TH ST,19106,39.9551560,-75.1510959
61,Norris Square,6,2100-60 N HOWARD ST,19122,39.9826840,-75.1346860
62,McPherson Square,3,601 E INDIANA AVE,19134,39.9941806,-75.1199716
63,Malcolm X Memorial Park,8,5100 PINE ST,19143,39.9533050,-75.2243541
64,Cliveden Park,4,501 E JOHNSON ST,19119,40.0506339,-75.1774454
65,Old Line Park,4,8730 OLD LINE RD,19128,40.0678520,-75.2372580
66,Carroll Park,8,5801 W GIRARD AVE,19131,39.9710150,-75.2367270
133,Benson Park,2,1440R-44 N 04TH ST,19122,39.9733970,-75.1425570
134,Christ Church Park,5,201-17 MARKET ST,19106,39.9500093,-75.1441689
135,Delancey Park,5,311-19 DELANCEY ST,19106,39.9441800,-75.1477080
