66,Murphy,7,300 SHUNK ST,19148,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=801,-33.0228576,-71.5669796
67,48th & Woodland,8,4740 WOODLAND AVE,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=860,39.9417694,-75.2103467
68,East Poplar,6,800 N 08TH ST,19123,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=733,39.9652160,-75.1516190
69,Cruz,2,1400-52 N 05TH ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729,-36.7415136,-72.9929966
70,Holmesburg,1,4500 RHAWN ST,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=763,40.0358370,-75.0202247
71,Cione,2,2600 ARAMINGO AVE,19125,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=724,39.9816562,-75.1177588
72,Pleasant,4,6750 BOYER ST,19119,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=815,40.0569015,-75.1834169
73,Athletic,6,1401-55 N 27TH ST,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=707,39.9831730,-75.1716680
74,Happy Hollow,4,4740 WAYNE AVE,19144,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=757,40.0236071,-75.1665727
75,Simpson,3,1010 ARROTT ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=835,-39.8317826,-73.2376086
76,Monkiewicz,2,3201 RICHMOND ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=795,39.9829119,-75.1013495
77,Tustin,8,5901-29 W COLUMBIA AVE,19151,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=843,39.9821808,-75.2409783
78,Wharton Square,7,1300 S 23RD ST,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=851,39.9357451,-75.1833568
79,Belfield,4,2109 W CHEW AVE,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=712,40.0496758,-75.1724300
80,Columbus Square,7,1200 WHARTON ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=727,39.9331880,-75.1649353
81,Capitolo,7,900 FEDERAL ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=716,39.9338219,-75.1599249
82,Vare,7,2600 MORRIS ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=844,39.9264133,-75.1942614
83,Markward,7,400-16 S TANEY ST,19103,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=785,39.9472900,-75.1836705
84,Mt Airy,4,7001 GERMANTOWN AVE,19119,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=799,40.0652778,-75.1908333
85,Hillside,4,201 FOUNTAIN ST,19127,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=762,14.5710941,121.1458356
86,Barry,7,1800 JOHNSTON ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=711,43.0402380,0.3221190
87,McIlvain,2,5200 N PENN ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=791,39.7245969,-76.1320180
88,Dendy,6,1501-39 N 10TH ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=864,39.9756053,-75.1509958
89,Shissler,6,1800-56 BLAIR ST,19125,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=831,39.9775390,-75.1321095
90,Sacks,7,400 WASHINGTON AVE,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=883,39.9341693,-75.1519843
91,Gathers,6,2501-59 DIAMOND ST,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=750,39.9871625,-75.1744799
92,Mallery,4,100-70 E JOHNSON ST,19144,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=782,40.0478098,-75.1801538
93,Emanuel,4,8500 PICKERING AVE,19150,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=735,18.6215763,-68.7193000
94,Francisville,6,1737-39 FRANCIS ST,19130,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=746,39.9703549,-75.1669417
95,Shuler,6,2901 N 29TH ST,19132,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=833,40.0012816,-75.1746326
96,Anderson,7,740 S 17TH ST,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=706,-32.9668388,-60.7215118
97,Disston,2,4423 LONGSHORE AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=731,40.0278790,-75.0432023
98,Feltonville,3,231-37 E WYOMING AVE,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=736,40.0108574,-75.1165915
99,Palumbo,7,700 S 09TH ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=808,39.9409996,-75.1587204
100,Christy,8,728 S 55TH ST,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=722,52.0914518,-7.6130115
101,Cibotti,8,2500 S 77TH ST,19153,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=723,42.1941839,14.6309099
102,Lower Mayfair,2,3001 ROBBINS ST,19149,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=780,40.0287687,-75.0612652
103,Heitzman,2,2136 CASTOR AVE,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=760,39.9977694,-75.0983226
104,Chew,7,1800 WASHINGTON AVE,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=721,40.0358584,-75.1148246
105,D. Finnegan,7,1231 S 30TH ST,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=738,45.3782131,-123.0415756
106,Mill Creek,8,743-81 N 48TH ST,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=793,39.9685516,-75.2158171
107,Miles Mack,8,732-66 N 36TH ST,19104,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=787,43.7004418,-79.2713375
108,Clemente,6,1800 WALLACE ST,19130,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=725,14.7188908,121.1064795
109,Conestoga,8,5200-300 MEDIA ST,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=728,39.9725356,-75.2299994
110,Samuel,2,2501 E TIOGA ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=825,19.4682103,-99.1207850
111,Dorsey,2,6501 HEGERMAN ST,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=732,40.0214043,-75.0484966
112,12th & Cambria,3,1149 W CAMBRIA ST,19133,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=859,39.9967610,-75.1491470
113,Starr Garden,7,600-44 LOMBARD ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=837,39.9429658,-75.1522292
114,Guerin,7,2201 S 16TH ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=754,44.8557495,-0.1180888
115,DiSilvestro,7,1700 S BROAD ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=730,39.9291407,-75.1700425
116,Penrose,6,1101 W SUSQUEHANNA AVE,19133,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=810,51.4184780,-2.5791882
117,Seger,7,1000-42 LOMBARD ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=829,30.7792101,30.9896029
118,Hancock,2,147 MASTER ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=756,39.9767078,-75.1369094
119,Towey,6,1832-50 N HOWARD ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=842,39.9785893,-75.1350186
120,Fishtown,2,1202-32 E MONTGOMERY AVE,19125,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=741,39.9650000,-75.1355556
121,Shot Tower,7,101-31 CARPENTER ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=832,39.9346543,-75.1464420
122,Amos,6,1817-59 N 16TH ST,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=704,31.6550870,35.2291900
123,Hawthorne,7,1200 CARPENTER ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=758,39.9398236,-75.1640233
124,Baker,8,5431-43 LANSDOWNE AVE,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=709,52.2729539,4.6373418
125,8th & Diamond,6,2032-62 N 08TH ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=858,39.9833836,-75.1472426
126,Nelson,6,2500-34 N 03RD ST,19133,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=804,-33.6634369,-65.4406128
127,Northern Liberties,2,313-27 FAIRMOUNT AVE,19123,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=805,39.9636917,-75.1399443
128,Glavin,2,3267-81 ALMOND ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=751,45.7507100,2.8397090
129,Lloyd Hall,5,1 JOHN B KELLY DR,19130,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=927,39.9689954,-75.1851938
130,Schmidt,3,113-23 W ONTARIO ST,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=828,-36.6219749,-64.2590713
131,Hayes,1,9850 E ROOSEVELT BLV,19115,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=759,14.5515322,121.0091244
132,C. B. Moore,6,2020-50 W LEHIGH AVE,19132,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=796,52.7471433,7.6458187
133,Jerome Brown,4,1927-41 W ONTARIO ST,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=770,40.0059840,-75.1614064
1,Hunting Park,3,1101 W HUNTING PARK AVE,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=863,40.0146739,-75.1457820
2,Wissinoming,2,5801 FRANKFORD AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=854,40.0203813,-75.0552739
3,Awbury,4,6101 ARDLEIGH ST,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=708,40.0501330,-75.1689876
4,Fisher Park,3,6000 N 05TH ST,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=866,40.0440881,-75.1288485
5,Junod,1,3102 MECHANICSVILLE RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=769,40.1041395,-74.9669771
6,Eastwick Regional,8,80TH ST & MARS PL,19153,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=734,43.6193575,-79.5159891
7,Palmer,1,11701 THORNTON RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=807,-34.2577400,-59.4669647
8,J. Finnegan,8,6801 GROVERS AVE,19142,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=740,39.9137089,-75.2334972
9,Lawncrest,3,6000 RISING SUN AVE,19111,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=777,40.0365483,-75.1019942
10,Vogt,2,4131 UNRUH AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=846,50.8277141,6.0187177
11,American Legion,2,6201 TORRESDALE AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=703,40.0193400,-75.0552477
12,Jacobs,1,9050 TORRESDALE AVE,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=767,22.1145372,-100.9406564
13,Fox Chase,1,601 BORBECK AVE,19111,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=745,40.0736106,-75.0786357
14,Torresdale,1,9550 FRANKFORD AVE,19114,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=841,40.0557089,-74.9997758
15,Simons,4,1601-35 E WALNUT LA,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,40.0612335,-75.1565333
16,Olney,3,100 E GODFREY AVE,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=806,40.0396060,-75.1253492
17,Russo Park,1,7301 TORRESDALE AVE,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=824,40.0302394,-75.0351954
18,Max Myers,1,1601 HELLERMAN ST,19149,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=803,40.0383030,-75.0702217
19,Chalfont,1,4336 DEERPATH LA,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=719,40.0823367,-74.9816739
20,Gustine,4,4868 RIDGE AVE,19129,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=875,40.0137234,-75.2046237
21,Lackman,1,800 BARTLETT ST,19115,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=774,40.1010590,-75.0345092
22,Gambrel,2,1900 WAKELING ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=749,40.0132436,-75.0762122
23,Carmella,2,2100 WAKELING ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=718,40.0123704,-75.0733122
