"OBJECTID,N,10,0","NAME,C,100","DISTRICT,N,9,0","ADDRESS,C,50","ZIPCODE,C,5"
1,"Wissahickon Valley Park",4,,"19128"
2,"West Fairmount Park",5,,"19131"
3,"Pennypack Creek Park",1,,"19152"
4,"Cobbs Creek Park",8,,
5,"East Fairmount Park",5,,"19121"
6,"Tacony Creek Park",3,,"19120"
7,"Pennypack on the Delaware",1,"8201 STATE RD","19136"
8,"Franklin D. Roosevelt Park",7,"3500 S BROAD ST","19145"
9,"Morris Park",8,"6600 SHERWOOD RD","19151"
10,"Walton Run",1,"11000 ACADEMY RD","19154"
11,"Hunting Park",3,"1101 W HUNTING PARK AVE","19140"
12,"Poquessing Creek Park",1,"3601 ACADEMY RD","19154"
13,"Fluehr Park",1,"4800 GRANT AVE","19114"
14,"Burholme Park",1,"7370 CENTRAL AVE","19111"
15,"Wister's Woods Park",4,"432-60 E WISTER ST","19141"
16,"Wooden Bridge Run",1,"2855 WILLITS RD","19114"
17,"Bartram's Garden",8,"5400 LINDBERGH BLV","19143"
18,"Clifford Park",4,"6331 WISSAHICKON AVE","19144"
19,"Carpenter's Woods Park",4,"7045-99 GREENE ST","19119"
20,"Fernhill Park",4,"4600 MORRIS ST","19144"
21,"Manayunk Canal",4,"4500 MAIN ST","19127"
22,"Poquessing Creek Park",1,"3125 MECHANICSVILLE RD","19154"
23,"Carroll Park Cobbs Creek",8,"7800 CITY AVE","19151"
24,"Awbury Park",4,"6101 ARDLEIGH ST","19138"
25,"Holme Crispin Park",1,"3065 HOLME AVE","19136"
26,"Schuylkill River Park",5,"300 S 26TH ST","19103"
27,"Fisher Park",3,"6000 N 05TH ST","19120"
28,"Disston Park",2,"6501-6951 KEYSTONE ST","19135"
29,"Poquessing Creek Park",1,"1217 STEVENS RD","19116"
30,"Junod Park",1,"3102 MECHANICSVILLE RD","19154"
31,"Eastwick Regional Park",8,"80TH ST & MARS PL","19153"
32,"Poquessing Creek Park",1,"4341 WHITING RD","19154"
33,"29th & Chalmers Park",6,"3001 W LEHIGH AVE","19132"
34,"Gorgas Park",4,"6300 RIDGE AVE","19128"
35,"Marconi Plaza",7,"2700 S BROAD ST","19148"
36,"Fort Mifflin",8,"4800 FORT MIFFLIN RD","19153"
37,"Poquessing Creek Park",1,"9900-99 HEGERMAN ST","19114"
38,"Pastorius Park",4,"200 W HARTWELL LN","19118"
39,"Poquessing Creek Park",1,"130 DIMARCO DR","19154"
