"OBJECTID,N,10,0","ADDRESS,C,254","AGE_INT,C,15","SITE,C,50"
133,"6501 HEGERMAN ST","2-12","Dorsey Playground"
134,"1101 S 45TH ST","2-12","Clark Park"
135,"2101-35 CECIL B MOORE AVE","2-12","Martin Luther King Park"
136,"2901 CEDAR ST","2-12","Cohocksink Park"
137,"3320-50 HAVERFORD AVE","2-5","Mantua Recreation Center"
138,"4101 OLD YORK RD","2-12","Hunting Park East"
139,"4101 OLD YORK RD","5-12","Hunting Park West (Wingohocking Park)"
140,"2024-40 E HAGERT ST","2-12","Hagert Playground"
141,"1101 E CAYUGA ST","2-12","Ferko Playground"
142,"3910-18 CONSHOHOCKEN AVE","2-12","Conshohocken Playground"
143,"263-73 W NORRIS ST","5-12","3rd & Norris Playground"
144,"10851 CALERA RD","2-12","Picariello Playground"
145,"700 S 09TH ST","2-12","Palumbo Playground"
146,"1501-39 N 10TH ST","2-12","Marie Dendy Park"
147,"231 HORTON ST","2-5","Horton Street Play Lot"
148,"1535 W CLEARFIELD ST","2-12","Heritage Park"
149,"5326 PULASKI AVE","2-12","Wissahickon Playground"
150,"2501-59 DIAMOND ST","2-12","Gathers Park"
151,"5431-43 LANSDOWNE AVE","2-12","Baker Playground"
152,"601 BORBECK AVE","2-12","Fox Chase Recreation Center"
153,"2600 MORRIS ST","2-12","Vare Park"
154,"9850 E ROOSEVELT BLV","2-12","Hayes Playground"
155,"3102 MECHANICSVILLE RD","2-12","Junod Playground"
156,"100 E GODFREY AVE","2-12","Olney Park"
157,"5801 W GIRARD AVE","2-12","Carroll Park"
158,"5119 ROCHELLE AVE","2-5","La Noce Park"
159,"3000 EDGEMONT ST","5-12","Stokley Playground"
160,"2901 PRINCETON AVE","2-12","Mayfair Playground"
161,"4301 GERMANTOWN AVE","2-12","Nicetown Park"
162,"1817-59 N 16TH ST","5-12","Amos Playground"
163,"6750 BOYER ST","2-12","Pleasant Playground"
164,"3101-27 N 22ND ST","5-12","Panati Playground"
165,"4500 RHAWN ST","2-12","Holmesburg Playground"
166,"4625 RICHMOND ST","2-12","Bridesburg Recreation Center"
167,"405-25 QUEEN ST","2-12","Weccacoe Playground"
168,"1400-52 N 05TH ST","2-12","Cruz Park"
169,"1601 HELLERMAN ST","2-12","Max Myers Playground"
170,"7401 LINDBERGH BLV","2-12","Eastwick Park"
171,"4917-53 BALTIMORE AVE","5-12","Cedar Park"
172,"2328 N 15TH ST","2-12","Winchester Commons Playground"
173,"728 S 55TH ST","2-12","Christy Playground"
174,"621 W ALLENS LA","2-12","Allens Lane Art Center"
175,"3201 N 05TH ST","5-12","Rivera Park"
176,"2601-61 N LAWRENCE ST","2-12","Fairhill Square"
177,"4600 N 16TH ST","2-12","Stenton Park Playground"
178,"8500 PICKERING AVE","2-12","Emanuel Playground"
179,"200-64 E OLNEY AVE","2-12","Zeihler Playground"
180,"2827 W PASSYUNK AVE","5-12","28th & Passyunk Playground"
181,"2501 E TIOGA ST","2-12","Samuel Recreation Center"
182,"1400 S 32ND ST","2-12","Stinger Square Playground"
183,"1015-21 MOUNT VERNON ST","2-12","10th & Lemon Playground"
184,"1231 S 30TH ST","2-12","Donald Finnegan Playground"
185,"2700 S BROAD ST","2-5","Marconi Plaza North"
186,"2100-60 N HOWARD ST","2-12","Norris Square"
187,"338-50 N 65TH ST","2-12","Granahan Playground"
188,"6101 ARDLEIGH ST","2-12","Awbury Park & Recreation Center"
189,"501 E JOHNSON ST","5-12","Cliveden Park"
190,"1099 E TIOGA ST","2-12","Scanlon Park"
191,"4301 LEVICK ST","2-12","Roosevelt Playground"
192,"1600 E MOYAMENSING AVE","2-12","Dickinson Square"
193,"5200 MEDIA ST","2-12","Conestoga Community Playground"
194,"2136 CASTOR AVE","2-12","Heitzman Recreation Center"
195,"802 E GODFREY AVE","2-12","Houseman Recreation Center"
196,"4740 WAYNE AVE","2-12","Happy Hollow Playground"
197,"609-29 SNYDER AVE","2-12","Ford P.A.L. Playground"
