"OBJECTID,N,10,0","NAME,C,100","DISTRICT,N,9,0","ADDRESS,C,50","ZIPCODE,C,5","WEBSITE,C,100"
66,Murphy,7,300 SHUNK ST,19148,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=801
67,48th & Woodland,8,4740 WOODLAND AVE,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=860
68,East Poplar,6,800 N 08TH ST,19123,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=733
69,Cruz,2,1400-52 N 05TH ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729
70,Holmesburg,1,4500 RHAWN ST,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=763
71,Cione,2,2600 ARAMINGO AVE,19125,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=724
72,Pleasant,4,6750 BOYER ST,19119,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=815
73,Athletic,6,1401-55 N 27TH ST,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=707
74,Happy Hollow,4,4740 WAYNE AVE,19144,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=757
75,Simpson,3,1010 ARROTT ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=835
76,Monkiewicz,2,3201 RICHMOND ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=795
77,Tustin,8,5901-29 W COLUMBIA AVE,19151,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=843
78,Wharton Square,7,1300 S 23RD ST,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=851
79,Belfield,4,2109 W CHEW AVE,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=712
80,Columbus Square,7,1200 WHARTON ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=727
81,Capitolo,7,900 FEDERAL ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=716
82,Vare,7,2600 MORRIS ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=844
